mod,sub,nrom,departamento,categorias,co2abs,co2,ch4,n2o,hfc-23,hfc-32,hfc-125,hfc-134a,hfc-143a,hfc-152a,hfc-227ea,hfc-236fa,hfc-245fa,hfc-365mfc,hfc-43-10mee,pfc-14,pfc-116,sf6,co2abseq,co2eq,ch4eq,n2oeq,hfc-23eq,hfc-32eq,hfc-125eq,hfc-134aeq,hfc-143aeq,hfc-152aeq,hfc-227eaeq,hfc-236faeq,hfc-245faeq,hfc-365mfceq,hfc-43-10meeeq,pfc-14eq,pfc-116eq,sf6eq,abosorciones_totales,emisiones_totales,emisiones_netas,sector_principal
1.0,,,AMAZONAS,1A4 - Otros sectores,,6.456784792,0.1793732284,0.0023971731,,,,,,,,,,,,,,,,6.456784792,5.022450396,0.6352508669,,,,,,,,,,,,,,,,12.11448606,12.11448606,Energía
1.0,a,,AMAZONAS,1A4a - Comercial / Institucional,,0.5564556781,4.14121e-05,8.282e-07,,,,,,,,,,,,,,,,0.5564556781,0.0011595395,0.0002194843,,,,,,,,,,,,,,,,0.399843002,0.5578347019,Energía
1.0,b,,AMAZONAS,1A4b - Residencial,,4.997288171,0.1431682053,0.0017942868,,,,,,,,,,,,,,,,4.997288171,4.00870975,0.4754859937,,,,,,,,,,,,,,,,9.639475615,9.481483915,Energía
1.0,c,,AMAZONAS,1A4c - Agricultura / Silvicultura / Pesca / Piscifactorías  - Estacionaria,,0.9030409428,0.036163611,0.0006020581,,,,,,,,,,,,,,,,0.9030409428,1.012581107,0.1595453889,,,,,,,,,,,,,,,,2.075167438,2.075167438,Energía
1.0,c,i,AMAZONAS,1A4ci - Estacionaria,,0.6011235669,0.0361467323,0.000485738,,,,,,,,,,,,,,,,0.6011235669,1.012108505,0.1287205608,,,,,,,,,,,,,,,,1.741952633,1.741952633,Energía
1.0,c,ii,AMAZONAS,1A4cii - Vehículos todo terreno y maquinaria,,0.3019173759,1.68786e-05,0.0001163201,,,,,,,,,,,,,,,,0.3019173759,0.0004726013,0.0308248281,,,,,,,,,,,,,,,,0.3332148053,0.3332148053,Energía
1.0,c,ii,AMAZONAS,1A4cii - Vehículos todo terreno y maquinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Energía
1.0,c,iii,AMAZONAS,1A4ciii - Pesca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Energía
1.0,,,AMAZONAS,1A5 - No especificado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Energía
1.0,a,,AMAZONAS,1A5a - Estacionario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Energía
