"MOD","CAP","CAT","SUB","NROM","NUM","Departamento","Reportar","Nivel","Categorias","Rubro","Sector (Gráfica sectorial)","Sector (Colores histograma)","CO2abs","CO2","CH4","N2O","HFC-23","HFC-32","HFC-125","HFC-134a","HFC-143a","HFC-152a","HFC-227ea","HFC-236fa","HFC-245fa","HFC-365mfc","HFC-43-10mee","PFC-14","PFC-116","SF6","CO2abseq","CO2eq","CH4eq","N2Oeq","HFC-23eq","HFC-32eq","HFC-125eq","HFC-134aeq","HFC-143aeq","HFC-152aeq","HFC-227eaeq","HFC-236faeq","HFC-245faeq","HFC-365mfceq","HFC-43-10meeeq","PFC-14eq","PFC-116eq","SF6eq","Abosorciones_totales","Emisiones_Totales","Emisiones_Netas"
"3","B","2","b","iii","3","BOGOTA","SI","3B2biii3SI","Suelos","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","B","2","b","iv",,"BOGOTA","SI","3B2bivSI","3B2biv - Asentamientos convertidos en tierras de cultivo","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","B","2","b","iv","1","BOGOTA","SI","3B2biv1SI","Biomasa","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","B","2","b","iv","2","BOGOTA","SI","3B2biv2SI","MOM","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","B","2","b","iv","3","BOGOTA","SI","3B2biv3SI","Suelos","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","B","2","b","v",,"BOGOTA","SI","3B2bvSI","3B2bv - Otras tierras convertidas en tierras de cultivo","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","B","2","b","v","1","BOGOTA","SI","3B2bv1SI","Biomasa","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","B","2","b","v","2","BOGOTA","SI","3B2bv2SI","MOM","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","B","2","b","v","3","BOGOTA","SI","3B2bv3SI","Suelos","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","B","3","null","null",,"BOGOTA","SI","3B3SI","3B3 - Pastizales","null","null","null","0","3.291233623","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.291233623","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.291233623","3.291233623"
"3","B","3","a","null",,"BOGOTA","SI","3B3aSI","3B3a - Pastizales que permanecen como tales","Crecimiento y renovaciones de pastizales que permanecen como tales","Agropecuario","Agropecuario","0","0.4322633333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4322633333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4322633333","0.4322633333"
"3","B","3","a","i",,"BOGOTA","SI","3B3aiSI","Biomasa","null","null","null","0","0.4322633333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4322633333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4322633333","0.4322633333"
"3","B","3","a","ii",,"BOGOTA","SI","3B3aiiSI","MOM","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","B","3","a","iii",,"BOGOTA","SI","3B3aiiiSI","Suelos","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","B","3","b","null",,"BOGOTA","SI","3B3bSI","3B3b - Tierras convertidas en pastizales","null","null","null","0","2.85897029","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.85897029","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.85897029","2.85897029"
"3","B","3","b","i",,"BOGOTA","SI","3B3biSI","3B3bi - Tierras forestales convertidas en pastizales","Deforestación (Tierras convertidas en pastizales)","Gestión de tierras forestales","Deforestación","0","2.85897029","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.85897029","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.85897029","2.85897029"
"3","B","3","b","i","1","BOGOTA","SI","3B3bi1SI","Biomasa","null","null","null","0","1.733062726","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.733062726","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.733062726","1.733062726"
"3","B","3","b","i","2","BOGOTA","SI","3B3bi2SI","MOM","null","null","null","0","0.0502612121","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0502612121","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0502612121","0.0502612121"
"3","B","3","b","i","3","BOGOTA","SI","3B3bi3SI","Suelos","null","null","null","0","1.075646351","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.075646351","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.075646351","1.075646351"
